ano,gini_patrimonio,gini_renda_total,gini_renda_trabalho,top01_patrimonio,top1_patrimonio,top5_patrimonio,top10_patrimonio,bottom50_patrimonio,top1_renda_total,top10_renda_total,palma_patrimonio,palma_renda,razao_top1_bottom50_patr,patrimonio_medio,patrimonio_mediano,desemprego,frac_com_edu,retorno_medio_agregado,renda_trabalho_agreg,renda_patrimonio_agreg,transferencia_total,patr_p5,patr_p10,patr_p25,patr_p50,patr_p75,patr_p90,patr_p95,patr_p99,patr_p99.9,rendatot_p5,rendatot_p10,rendatot_p25,rendatot_p50,rendatot_p75,rendatot_p90,rendatot_p95,rendatot_p99,rendatot_p99.9,frac_faixa1,frac_faixa2,frac_faixa3,frac_faixa4,vardec_retorno,vardec_trabalho,vardec_sucessao,gini_patrimonio_ic95,gini_renda_total_ic95,gini_renda_trabalho_ic95,top01_patrimonio_ic95,top1_patrimonio_ic95,top5_patrimonio_ic95,top10_patrimonio_ic95,bottom50_patrimonio_ic95,top1_renda_total_ic95,top10_renda_total_ic95,palma_patrimonio_ic95,palma_renda_ic95,razao_top1_bottom50_patr_ic95,patrimonio_medio_ic95,patrimonio_mediano_ic95,desemprego_ic95,frac_com_edu_ic95,retorno_medio_agregado_ic95,renda_trabalho_agreg_ic95,renda_patrimonio_agreg_ic95,transferencia_total_ic95,patr_p5_ic95,patr_p10_ic95,patr_p25_ic95,patr_p50_ic95,patr_p75_ic95,patr_p90_ic95,patr_p95_ic95,patr_p99_ic95,patr_p99.9_ic95,rendatot_p5_ic95,rendatot_p10_ic95,rendatot_p25_ic95,rendatot_p50_ic95,rendatot_p75_ic95,rendatot_p90_ic95,rendatot_p95_ic95,rendatot_p99_ic95,rendatot_p99.9_ic95,frac_faixa1_ic95,frac_faixa2_ic95,frac_faixa3_ic95,frac_faixa4_ic95,vardec_retorno_ic95,vardec_trabalho_ic95,vardec_sucessao_ic95
2026,0.8083807755983743,0.5708425900299037,0.5350641565202632,0.07859102757438835,0.2984470524197133,0.5705807445995668,0.7118871865123182,0.030729479188556428,0.13166416833578343,0.4397137224642698,42.612119322348576,5.040898483106177,9.738400376976209,341151.95604439516,59860.438722345134,0.07993333333333333,0.010266666666666672,0.04369450924821716,66964171.210074104,14909853.172560524,0.0,2764.535869417546,5477.602174917319,16713.46465095426,59860.438722345134,217743.3206780453,692486.5219244495,1355544.0834021592,4530451.381033074,16015187.608294668,6713.450846363866,10484.390149340337,21458.308696514712,44521.6373919126,90828.84559057707,177379.8528215625,261017.87033979403,591340.285576856,1658246.3575914584,0.46326666666666666,0.4045666666666667,0.12316666666666669,0.009000000000000003,0.19168625006469683,0.3469031351136613,0.46141061482164186,0.0018351450124807797,0.0024701988265418357,0.002840942002264639,0.0014764698447122142,0.005606849620637269,0.004665881583361727,0.0034196145797932382,0.0006482643719815607,0.0037955640516548683,0.0037737844029422734,1.0953959452280142,0.07035865480749359,0.24050160448707386,6071.233980581066,1821.9474161497765,0.0026941994282879233,0.0012250413019857251,0.0009637608258445504,900610.709722294,433098.20954418916,0.0,142.02714208490596,191.70598630041,495.66572298595713,1821.9474161497765,6088.912736673427,26736.256663206976,62199.94063818762,1.0169004914174461e-09,2.0338009828348923e-09,188.10870861965964,275.5167269941204,404.875303604153,761.8638443425152,1708.0007853778702,4024.7438955283133,5656.086324701176,20137.59551688748,117361.06331207232,0.006056771700580282,0.0053165854337468765,0.0034401497338881755,1.2627498450595215e-18,0.04703630641847214,0.07192304813843724,0.11392877700990207
2027,0.8019774014739549,0.5744959095384166,0.5372328113743879,0.07722809274833083,0.29284971364357576,0.5628604258620046,0.7040279342670469,0.03319313727938115,0.13483369681893453,0.44387819894020575,38.454567992042776,5.153057242380493,8.850179053573578,356085.86566449964,66341.96413632583,0.08673333333333333,0.02036666666666668,0.043809777377245375,68329761.54913878,15605710.299176725,0.0,3317.9209507824644,6419.422900599844,19276.73370803992,66341.96413632583,232253.075571342,724083.3909256905,1409890.0357007906,4682260.481453434,16247253.035361,6657.072824230837,10500.014653178729,21742.527050957367,45233.104642714905,92547.61131342806,181247.10851569384,268052.8933241266,616716.7281421236,1736593.219487414,0.45380000000000004,0.4133333333333332,0.12403333333333334,0.008833333333333335,0.192104746043214,0.344899887448845,0.4629953665079411,0.0020066387585396172,0.0024219358831906127,0.0026057488282309163,0.0024220705225841124,0.006225349239420294,0.005103098505411023,0.0037818405120142386,0.0006779430390516323,0.003880655433223462,0.003812284358400653,0.9914778760191398,0.07426894930554966,0.2559996281930437,6491.293083085098,1908.5468613519438,0.0025666192681098906,0.0014961879325478854,0.001023226711119793,873216.1122216888,480499.99483200384,0.0,168.8439525662377,231.6829748337612,539.3786254465217,1908.5468613519438,6235.930350618832,26524.10971972094,64974.15931094242,49741.85480464371,393041.89195816824,210.88163902560316,286.2763169416562,391.82449262189823,681.4133715209396,1675.95185915561,3996.6248592394895,5820.29154313297,20803.293921279957,122380.9829574569,0.005756599379303122,0.0051552127247619815,0.003390242378794351,0.00013564095042777516,0.040278351633556385,0.06665575556762962,0.10079495777290627
2028,0.7985741250062875,0.5775876203030751,0.5382182695888452,0.07707925846911241,0.2912208124439694,0.5592884216603162,0.6998378579289566,0.034505330856300614,0.13814928647168848,0.4477094789667832,36.76981450266435,5.2495326362483885,8.465961155533352,371721.2734963324,71471.2916400527,0.09040000000000002,0.03133333333333335,0.04398209585259911,69697055.67786413,16355854.680144053,0.0,3509.0363918913426,7044.344877035563,20846.009880926482,71471.2916400527,247620.00553079395,754051.1701232359,1465726.7614285736,4904431.059252424,16757314.111680247,6822.289575601769,10647.25393799157,22102.462708443516,45966.66147096939,94358.95555777219,184990.22205158861,276151.11957745353,630126.1682555042,1831001.2108992483,0.4418333333333333,0.42446666666666655,0.12483333333333334,0.008866666666666669,0.18517174772011233,0.32412775801753724,0.4907004942623504,0.0020940038332594086,0.002427955322234308,0.0024691582842149003,0.0026857324904221063,0.006163278795587429,0.005356413382380948,0.0038924964246106405,0.0006859863082156061,0.0036590242663641238,0.0037933163247377676,0.9713687198387997,0.0785405420404957,0.24631863008710633,6549.839307845097,1912.688068314174,0.0028544219214662585,0.0016740533323006683,0.0009861319500663488,873018.2105984039,489426.12152795616,0.0,181.61743289785434,235.691295051177,534.434841926931,1912.688068314174,6313.739940526548,28285.345507445763,64154.12503461244,94347.47521299192,422342.01555055624,208.24375715666574,272.14132493202806,378.0025555675341,684.4846161298796,1664.8336849706304,4207.872973810065,6097.8249181625415,22397.729666413605,126640.91883988891,0.0059271836139830995,0.005304154340894566,0.003393627067656301,0.00029318533361466644,0.05607065037754625,0.08237249746754675,0.13246268158163294
2029,0.7951446105870157,0.5783512358742622,0.5374614734920884,0.07520132889571594,0.28451684723373594,0.5540529405594977,0.6949360411099131,0.035439196380243294,0.13834533924843603,0.44925673288620005,35.65389205544953,5.281286157218419,8.055812442893217,386417.3062436151,76502.48994569537,0.08843333333333332,0.04093333333333334,0.043959480706218794,71222817.7010574,16987786.947163977,0.0,3637.8455284148877,7524.213831807017,22329.15419965488,76502.48994569537,263055.1447130625,783343.2550261643,1533238.6967677895,5037987.668029124,16867310.970480677,7092.675317780015,10896.296545201762,22474.84279675704,47179.896177870054,96570.14878592613,189558.94438857576,284827.0817116827,640332.6271098482,1863687.5233342047,0.43126666666666663,0.43229999999999996,0.12733333333333335,0.009100000000000002,0.20089256731108557,0.3448582888837943,0.45424914380511994,0.0022382984251321262,0.002602911180566108,0.002766069785730167,0.003962320845651115,0.0075794274213042325,0.006200252602474986,0.0041255438336550935,0.0007017036678588948,0.003424770362783248,0.00392195242624291,0.9488462407006801,0.0833373170032209,0.27713413572521317,6574.341744967155,1994.3507498573722,0.0026624629049634687,0.0018933844254074444,0.0009406135729926575,937103.1869828365,462516.624210563,0.0,191.24904717729555,282.59163582702945,565.807098372959,1994.3507498573722,6963.920391992158,29016.884006451666,67239.8433035032,118201.41332438546,565504.1297524337,245.81204096913652,288.967707600811,475.6723965230779,784.9580198885019,1836.3215137861155,4264.355999878175,6420.2478789779925,21866.161674548643,131380.77956188895,0.006254751185975943,0.005482968958301806,0.0036521436102913,0.0003799883845774671,0.05247757059066258,0.07371334751421546,0.12139326074802478
2030,0.7928017439273121,0.5795777431318876,0.5368433602818166,0.0724642982613313,0.278555050601134,0.550548302173762,0.6912330313613789,0.035978144362599926,0.13882212484395595,0.45085981073926984,34.92611876667738,5.320912910762256,7.778967889698562,401055.06921452103,81069.06809099714,0.08970000000000002,0.0518,0.04418508976156811,72645321.91738139,17716527.789948285,0.0,3789.6727543231195,7773.143618702227,23744.618843903758,81069.06809099714,272781.70197451796,815108.9027220556,1587699.7977715093,5302074.518836675,16797324.00074938,7249.819678469559,11058.391477938927,22909.480353109528,48116.86594050254,98359.57889213589,193770.01190462854,294154.01622932585,655355.3533751018,1893449.5375795322,0.4260333333333335,0.4342,0.13053333333333333,0.009233333333333336,0.2457395840559361,0.38015271172692133,0.3741077042171427,0.002594514316902224,0.0022872044038209412,0.0027114600722688764,0.005422403790466049,0.009363938008862304,0.006699619752314975,0.004512603669489084,0.000755407900709161,0.0035096200479450813,0.0035725743505692267,0.935012892651044,0.07042978786513172,0.336998424948281,7256.239698429819,2302.3950475005768,0.0030438989818149763,0.0020554505281235105,0.0008384974345536324,959302.3673538835,437051.9635496943,0.0,174.19395369665853,308.00782591899997,561.6009945686769,2302.3950475005768,6616.028500967883,26523.23029458753,70413.79686040184,136496.5508856808,804221.7766965161,198.43213177430033,253.48628628644016,452.651531569278,833.89513519557,1810.0514491061924,4400.228048999825,6362.577598286711,23828.54329580714,141957.73243581515,0.006122430434186735,0.00533127951259164,0.003374903855023332,0.0003951786830927008,0.04549564788930793,0.058483842399086786,0.09817034261131911
2031,0.7924783654075334,0.5813483870234297,0.5363180760958055,0.07228222841396205,0.27736686341136185,0.5498852033720082,0.6902071518773741,0.03591085527082978,0.14104868279173385,0.4532669443293325,34.778426955012236,5.374507119754268,7.759666965804614,418857.9150126399,84542.80095126807,0.08883333333333336,0.06146666666666667,0.04453875035594769,74262695.33810815,18655555.933237653,0.0,3915.7570377203415,7975.7456536505715,25075.340187056125,84542.80095126807,283021.598304184,856082.0914643653,1641992.7826083985,5533430.397907978,17258650.58975518,7353.614295547103,11315.791764834388,23525.027168780587,49253.03944786148,101151.45840856552,198364.71693124555,302806.87026084465,674555.1392403815,1977197.8776131955,0.4225999999999999,0.43349999999999994,0.1343,0.009600000000000003,0.23207686238496822,0.35884356294047864,0.4090795746745532,0.00267022341743851,0.0023299353510730122,0.002639931142562469,0.005589450845492053,0.009341627013882234,0.0066463472140631955,0.0047433361735605755,0.0007595173747037029,0.0035905328256740443,0.0037540631317299063,0.921745034383876,0.0754747902073714,0.33338695740202423,7872.098266581496,2469.7934425272174,0.0030955868228459975,0.0021771619052532187,0.0008252849572941076,980393.1898073632,484253.01620324375,0.0,178.72727300765612,328.4155273644555,579.2066099535308,2469.7934425272174,7097.588115158749,28922.382286423763,75470.02873210952,166751.0138557271,804798.1221536514,238.4917440971322,287.0409513835843,429.61584890469186,855.371062826893,1816.5116219958563,4626.378388206319,6681.160300201429,23726.668752467827,150807.59521553034,0.006098668134231788,0.005238832106403154,0.0033319999999999986,0.0003828824734899041,0.04931197030803883,0.0656600197785358,0.1095385948840445
2032,0.7922665675736964,0.5828399747627449,0.5352527566540609,0.07209233115557057,0.27622203142745705,0.5485750321791638,0.6893258713351769,0.03584297159739545,0.14192987200370105,0.45587808347791847,34.69424313821662,5.420921779762784,7.743565666840019,437342.81612961984,87836.87582120401,0.08856666666666668,0.07186666666666668,0.044804643089191104,75864821.25431015,19594611.766338844,0.0,3994.347455913411,8084.8752190787745,26331.79480186191,87836.87582120401,294959.6893857002,903135.871671399,1708195.1330539947,5782124.255896601,17457934.725056414,7329.117205040715,11556.959506975438,24066.78156656049,50363.14405855349,103437.28181028759,203558.470885805,314976.35739535163,697165.6194802304,2017529.8835309723,0.41833333333333333,0.4334999999999999,0.13833333333333334,0.009833333333333336,0.19128126867253162,0.2880665298849317,0.5206522014425368,0.0027137948891968293,0.0022264925120918074,0.0024883218774412563,0.005753877406558678,0.009171722539748971,0.006877215651124278,0.004888669884599462,0.0007522256380364899,0.0036974845058239127,0.003715630486657021,0.8999832544992244,0.07629712350012915,0.3347991499656347,7811.196537911398,2421.996632323927,0.0023108696145561583,0.0022013652886560225,0.000802922470585636,1048222.2913956979,484974.95804979734,0.0,162.83899129600914,327.6250575933904,612.3210959166526,2421.996632323927,7359.551754034413,28349.891972959947,72330.97877903018,201534.0986334966,826501.5145296076,216.06525133566714,260.5951466370202,474.10784953818444,856.437446162127,1911.1028775036011,4616.459022217963,6493.015876647052,24995.219220478328,143485.50707993613,0.005890004260743015,0.005425977108890798,0.0034224553038006795,0.00039962319416921694,0.04218369177019033,0.05724319372014634,0.09492263776948485
2033,0.792068707913648,0.5845732939011289,0.5357222397779113,0.07029538367160071,0.2756665553062625,0.5469852816561178,0.6884192054485628,0.035731382846415326,0.14410556113740008,0.4577390490201288,34.704825416409875,5.487873444397832,7.7599935623152145,454257.11308980884,90522.93101407922,0.0895,0.082,0.04490842680706876,77592594.35824612,20402852.64172503,0.0,4085.1531119292827,8222.42747146743,27279.037610230604,90522.93101407922,305730.9142243985,950617.3883559493,1786222.3458910612,6000732.085770413,17974840.871269155,7550.334513610088,11713.278358556377,24468.236657278263,51575.73610801301,106076.44999328264,208257.06228848267,323502.4717097072,704819.7723250925,2159365.3837174405,0.4152333333333334,0.4330333333333333,0.14166666666666664,0.01006666666666667,0.2558079053134791,0.3400186049067165,0.4041734897798045,0.003008168196894247,0.002623753172994442,0.0026392903434579056,0.006113542667833202,0.009296927999823451,0.007034339918840639,0.0053429443887401335,0.0007851466364551106,0.003888005227176526,0.0036442261165846573,0.9601251180511884,0.08910014880258955,0.3576829712235026,8409.010360895783,2471.144934265609,0.0032250614892115467,0.002587295574688868,0.0007734519135046298,1038435.7330849293,522710.37682586256,0.0,166.47348858491173,338.4095652325438,638.8632949327719,2471.144934265609,7369.506962795833,30997.33968371479,80195.09462763782,232599.68745804808,918692.6606311912,246.84837429810895,307.01709295835144,474.89018912846683,874.5195286282994,1937.3992049145218,4238.495601763026,6475.704378967836,26470.096043353155,167692.14163822716,0.005434054791675106,0.005189488751497178,0.003562789728757647,0.00041956708211973373,0.054740268430606275,0.0659717789039307,0.11493083025060243
2034,0.7926266125673431,0.5865011424874431,0.5357959442051107,0.06916968147975838,0.27676288414415406,0.5472358129494606,0.6887270529531361,0.03545727395845891,0.1458197706997284,0.46036522835756866,34.93523988630319,5.544029397210906,7.856234800784611,473234.51530343405,92949.2555388233,0.09016666666666667,0.09223333333333336,0.04511413897183914,79224857.30136596,21351972.318835046,0.0,4154.381073885539,8327.579632145966,28494.428969313307,92949.2555388233,318641.61710675847,1001256.918461205,1849368.2111376824,6269956.806932088,18693249.873639166,7709.134650195933,12064.656147278647,25021.685400537386,52476.33557732518,108204.97211609666,214994.90104754677,332937.9546551009,728865.4936171208,2261145.513877115,0.41230000000000006,0.4333333333333333,0.14379999999999998,0.01056666666666667,0.2519567387243678,0.33589679376643483,0.4121464675091975,0.0032296264729518714,0.0025544981068906414,0.0026886103659929084,0.006639700652415408,0.009653132835255044,0.007423688301248789,0.005749674473673428,0.000807689577392481,0.004185050466477326,0.0036203557950267337,1.00517801463256,0.08945580490859278,0.3780084408123465,8631.983819802605,2710.330461821397,0.0026448246289702583,0.002715015502732283,0.0007641694703440716,1066159.3578742966,538295.9639019165,0.0,164.54679896709004,333.8146447108305,651.674173345591,2710.330461821397,7742.131720170644,31615.247931871272,75070.7749543871,220821.32810472875,950497.88611502,223.4123846707686,312.28963889911597,475.18766844213957,833.5747626448879,1886.841623665858,4939.453874642855,7308.34097093113,30234.3835347294,176048.63821956518,0.005540649748195951,0.004940906644274204,0.0036243099509685487,0.0004273873941453228,0.05078668400412538,0.05343471415098438,0.09838094824230939
2035,0.79338911277709,0.587732515073469,0.5353544324932,0.06865374791942892,0.2778699462995824,0.547868453315164,0.6896787536872323,0.035141078471699026,0.14697998177255017,0.4619573606124996,35.25545095889238,5.589341666743427,7.951812747633193,492725.03580373584,95343.45148463029,0.089,0.10206666666666671,0.04519622708859935,81039560.01042815,22270176.762804054,0.0,4213.88905952695,8399.93515554629,29329.83731918753,95343.45148463029,331678.56749565736,1041788.1095051406,1925278.882847277,6570320.942062024,19324276.04926325,7844.871061833174,12361.631281978163,25584.79916084353,53685.77852992553,110877.68388503803,218945.50838057458,342489.1411526672,749604.4089211085,2355858.5349127213,0.4094,0.43423333333333336,0.14529999999999996,0.01106666666666667,0.252218714724907,0.3233611486215033,0.42442013665358974,0.0031552275636436366,0.0024639478477378536,0.00263612218199748,0.006944224113077291,0.009625217930190015,0.007493438623568785,0.005747198074049822,0.0007380709751008753,0.004191942851465645,0.0034380098191018624,0.9329096458110447,0.080027814499848,0.36927243116708375,8558.59987179137,2786.74345257275,0.0028426408314368044,0.002585474497162741,0.0007849653288958182,1078296.582306602,546994.8918583106,0.0,186.75760971961364,311.3401629509627,655.9425550869538,2786.74345257275,7935.1530981962205,32376.64637889111,74032.32233799042,195824.52957190422,984749.2546086306,223.04865021367138,294.3875072383592,498.423327835776,914.4407101169227,1931.2774034111274,4698.680073705241,7018.757826470329,30730.256165618892,184766.51699911937,0.005578336949883606,0.004811733430414035,0.0036856219675051216,0.0004299625574003897,0.0570373462982923,0.073466798909076,0.12476872758516974
