ano,gini_total_mean,gini_total_p025,gini_total_p500,gini_total_p975,gini_financeiro_mean,gini_financeiro_p025,gini_financeiro_p500,gini_financeiro_p975,share_top1_mean,share_top1_p025,share_top1_p500,share_top1_p975,share_top10_mean,share_top10_p025,share_top10_p500,share_top10_p975,share_top50_mean,share_top50_p025,share_top50_p500,share_top50_p975,taxa_propriedade_mean,taxa_propriedade_p025,taxa_propriedade_p500,taxa_propriedade_p975,preco_imovel_mean,preco_imovel_p025,preco_imovel_p500,preco_imovel_p975,populacao_mean,populacao_p025,populacao_p500,populacao_p975,riqueza_media_mean,riqueza_media_p025,riqueza_media_p500,riqueza_media_p975,riqueza_media_c0_mean,riqueza_media_c0_p025,riqueza_media_c0_p500,riqueza_media_c0_p975,riqueza_media_c1_mean,riqueza_media_c1_p025,riqueza_media_c1_p500,riqueza_media_c1_p975,riqueza_media_c2_mean,riqueza_media_c2_p025,riqueza_media_c2_p500,riqueza_media_c2_p975,frac_rent_renda_mean,frac_rent_renda_p025,frac_rent_renda_p500,frac_rent_renda_p975,divida_media_mean,divida_media_p025,divida_media_p500,divida_media_p975
0,0.76454,0.7505550000000001,0.7625,0.7831775,0.89029,0.8853175,0.89005,0.8984575,0.5443450000000001,0.52583,0.5447500000000001,0.5696125,0.79419,0.7812925,0.7927,0.8108725,0.93062,0.9261025,0.93005,0.9363575000000001,0.7359,0.735295,0.7358,0.7367575000000001,300000.0,300000.0,300000.0,300000.0,50000.0,50000.0,50000.0,50000.0,1090028.316149979,1021359.2359794874,1078558.355987309,1188183.8361673553,203996.94543034775,203993.56000672266,203996.96231503086,204000.0,630518.2714875134,623159.6621302868,631089.9429408193,637222.8987226349,16332065.712985743,15291108.677205198,16101426.721128128,18014291.565325633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.77366,0.7605125,0.77115,0.7918975,0.9364250000000001,0.9331375,0.93635,0.94121,0.5533750000000001,0.535015,0.55325,0.5779825000000001,0.8023149999999999,0.79015,0.80045,0.81854,0.9352349999999999,0.93115,0.9346,0.940715,0.744165,0.7430325,0.74385,0.7456625,298743.55,298535.9,298721.0,299076.325,50367.8,50307.975,50375.5,50403.625,1137050.9217208868,1065731.4343134155,1123969.2875316644,1240887.6211399944,201995.10792645012,201748.77277525075,201965.9387114051,202273.15005382543,657766.1868362994,650225.6790822085,658795.1030628583,665143.273870393,17280637.100161243,16178956.585881948,17081297.391198933,19016708.99640156,0.00573,0.0055474999999999995,0.0057,0.0059,3133.2608311605823,3020.810524887308,3117.4318775090724,3304.372431943669
2,0.784775,0.7724375,0.7826,0.802345,0.93469,0.931485,0.9347,0.9396575,0.56341,0.5451025,0.5637,0.5881,0.8120200000000001,0.800575,0.81045,0.8277875,0.9404349999999999,0.9366599999999999,0.9401,0.9455625,0.739115,0.737595,0.739,0.740805,292640.5,292366.275,292629.5,293040.7,50705.35,50613.0,50711.5,50782.375,1182155.2228257959,1109601.413556785,1169853.6115641808,1293178.6955199284,196926.34195296784,196497.08130664844,196948.7054234792,197259.80012057527,682475.3568468456,674149.1009239979,683235.8718402365,690441.3420225022,18263767.3369748,17123263.489755075,18064871.67844808,20121860.40738997,0.005025,0.0048,0.0051,0.0052,3113.1054775703487,3001.8740891168827,3112.8212109169654,3268.757358200457
3,0.7955300000000001,0.7839475,0.7931,0.81253,0.933165,0.9297325000000001,0.9331,0.9383525,0.57301,0.5545574999999999,0.57315,0.5972575,0.82122,0.8104375,0.81945,0.8364725,0.9453150000000001,0.941965,0.9449,0.9500575,0.73325,0.73139,0.7335,0.7350625,287291.45,286964.825,287263.5,287841.625,51020.95,50934.45,51016.0,51115.65,1233398.4655903552,1157135.8353789595,1218492.257522467,1351894.4329004441,192532.20328851297,192064.7885066357,192590.34903703953,192920.98373013004,711966.1258800736,702291.4388342308,712028.5530709848,719329.1941527539,19330522.82966048,18129562.73359309,19129190.934502743,21339754.189257137,0.00452,0.0043475,0.0045,0.0046524999999999995,3048.3136927164073,2933.5990757972736,3061.8788040826066,3204.7785744110697
4,0.8049149999999999,0.79277,0.8021,0.8216525,0.9317,0.928095,0.9313499999999999,0.93711,0.5809599999999999,0.5631349999999999,0.57975,0.60552,0.8291550000000001,0.817765,0.82685,0.844305,0.94959,0.94616,0.94905,0.9542,0.7274999999999999,0.72549,0.7275,0.7296674999999999,282711.7,282319.45,282662.5,283430.85,51313.8,51188.45,51311.5,51435.125,1284998.3256704286,1199354.2877903527,1265182.4038822723,1412786.184297151,188796.29991335497,188282.7199314856,188801.43385569603,189396.1929360897,745834.0732782806,735794.972862524,745496.2880680376,755139.5205407565,20392130.411100335,18977341.591295395,20124915.93134145,22611854.015473388,0.0043549999999999995,0.0042,0.00435,0.0045,2983.5591621247954,2876.3206694592773,2991.630604854822,3134.788415777128
5,0.814125,0.8022425,0.8115,0.8302674999999999,0.9306300000000001,0.92659,0.93025,0.9362575000000001,0.5890850000000001,0.5685925,0.5880000000000001,0.6137575000000001,0.8370050000000001,0.8258375,0.8349,0.8516050000000001,0.95364,0.950365,0.9531499999999999,0.9579,0.7219,0.7193325,0.72185,0.72411,278857.15,278428.825,278825.0,279682.825,51596.1,51478.825,51586.0,51756.525,1344681.0812523358,1252681.023527836,1323331.597483584,1480855.9363758874,185628.31607329912,184910.02987765,185673.20419608866,186470.13785526349,783561.1155221951,772438.8512141755,783565.4546274599,794428.3309569175,21622214.932108097,20097150.71960455,21336722.146377802,23970014.461327218,0.00422,0.0041,0.0042,0.0043,2918.090655012903,2818.2636621342685,2918.475313500683,3052.302586497681
6,0.822575,0.811315,0.8201,0.838135,0.9296899999999999,0.9256949999999999,0.9293,0.9353525,0.596615,0.576475,0.59575,0.6207775,0.844225,0.8335525,0.84205,0.8583725,0.95726,0.9542225,0.9568,0.9612575,0.716935,0.7144025,0.71685,0.7189525,275684.8,275186.925,275651.5,276629.725,51836.7,51714.2,51827.5,51991.675,1409260.9140282737,1313083.549670735,1383903.0186869756,1554616.4006460216,183108.69812957122,182442.1254343838,183049.2402365434,184053.1133309931,825612.4795621596,812992.8503077799,825589.8480485736,838370.1224485557,22901874.3470258,21333850.51099178,22625930.076412912,25264595.925506696,0.004135,0.004,0.0041,0.004252499999999999,2862.9006332301533,2754.305026626921,2865.533886629357,2996.816071494362
7,0.830255,0.8192775,0.8282,0.8455875,0.9289,0.925,0.92855,0.934805,0.603315,0.5838099999999999,0.60225,0.62793,0.850795,0.8403625,0.84885,0.864725,0.9604800000000001,0.9576275,0.9600500000000001,0.9641575,0.71236,0.709445,0.71235,0.7148,273152.2,272577.8,273107.5,274182.65,52051.25,51919.45,52041.0,52220.65,1478037.6469706171,1374792.9537510937,1452702.2002113634,1636411.8380938333,181150.91223724332,180402.32348123493,181114.41642420483,182272.6763781282,871526.3648878712,858147.186868043,872060.9882399631,885392.9251551647,24232202.974918634,22592899.770078305,23869991.38794204,26792509.323140867,0.00404,0.0039,0.00405,0.0041525,2816.53764297779,2715.9149772868777,2807.645528350108,2953.83844849009
8,0.837355,0.82712,0.8353999999999999,0.8518525,0.92825,0.9243,0.9276500000000001,0.9342525,0.609675,0.5903075,0.6093,0.6340525,0.856895,0.8470575,0.85495,0.8700575,0.9634050000000001,0.9607225,0.96305,0.966805,0.707995,0.7051175,0.70835,0.7104050000000001,271203.45,270555.5,271151.0,272313.325,52246.35,52077.8,52249.0,52438.075,1551192.2374760744,1446290.2852522058,1526864.3854122027,1714712.7750771279,179656.09862920726,178949.71285031192,179608.9461035843,180883.18779270974,921202.1562257598,906310.6449876896,921249.1410104281,936933.1388433251,25655816.050555773,24002296.361668307,25331078.31805347,28353682.332732063,0.003945,0.0038,0.004,0.0041,2767.3754381955146,2654.4845100138577,2754.918374025486,2915.5008563406936
9,0.843815,0.8340150000000001,0.8420000000000001,0.8579525,0.927685,0.9238425,0.9271,0.9338575,0.615505,0.596965,0.6152,0.6408,0.8624649999999999,0.8529475,0.86085,0.8752624999999999,0.96601,0.963475,0.96575,0.969205,0.7039850000000001,0.7008800000000001,0.7040500000000001,0.7062625,269804.7,269072.5,269757.0,271003.1,52413.1,52261.1,52401.5,52630.1,1629021.8959608073,1518887.1977736074,1602719.0223672013,1803199.171608175,178633.2998821008,177881.77070109584,178522.43681436975,179944.77462633332,975257.7417481892,958708.5955388868,974222.5246353024,993398.2155198718,27157668.383131694,25359812.347593628,26816904.706376076,30042312.596787058,0.003855,0.0037,0.0039,0.004,2722.81990023123,2594.162215697862,2715.55740778122,2870.809541015919
