ano,classe,n,media,p10,p25,p50,p75,p90,p99
0,0,37476,203994.55651617036,0.0,0.0,300000.0,300000.0,300000.0,300000.0
0,1,10020,632494.9029477702,334419.32003269193,405361.6049904993,553020.4091176474,769736.4702659468,1023017.8658417292,1969605.8042940332
0,2,2504,15719659.447928919,1284733.942719851,2421476.0777288526,5732359.786399797,15354099.172753261,34850200.65097321,148916845.0071729
25,0,39773,264424.03438867873,0.0,0.0,390775.371131279,398494.6254838574,441464.83740066923,556542.8704274177
25,1,10018,2515855.656064646,0.0,781893.0666374865,2146427.8488692865,3549139.1707620174,5336607.242895204,10172471.696116531
25,2,2334,67442560.83761331,0.0,2556976.9419176867,16460097.91424188,60041836.55635472,157632163.24386683,756146405.0837376
50,0,35980,417313.69168187026,0.0,0.0,545067.2179111886,567608.4254471327,653522.7231177894,900347.1718191507
50,1,8092,7778198.146507289,0.0,2857752.1621712986,4743285.556336772,9901243.498433894,18585813.075008847,42017607.15013477
50,2,1713,283051981.9801157,0.0,4914103.5847569825,21954340.798265725,217948888.4113192,730902888.8318883,3808973641.7740536
75,0,32088,719403.3337602182,0.0,818252.5493066336,818252.5493066336,893007.8283294343,1050739.2158451618,1638546.2599742643
75,1,6048,25715057.264835656,0.0,5025667.86680554,12348590.108294377,32459924.433015216,67160342.25098157,166472583.95481282
75,2,1086,1184590366.7489085,0.0,12283889.90188137,29685066.34403784,687678057.8930446,3200472465.8689184,19663885033.888203
100,0,29531,1265008.3630935745,0.0,1303484.259945902,1303484.259945902,1510398.7764864038,2336884.963403156,3181348.4443671172
100,1,4594,93763431.83626494,0.0,8317769.339266939,26863960.36355468,124864827.32380438,251839930.389794,708781347.9776431
100,2,727,4283782934.5802875,0.0,15646418.744691493,57873816.93984586,1433009610.084437,9723936287.803455,67712600476.06669
