tipo_ente;cod_ibge;tipo_receita;ano;fonte;valor
Estado;41;ICMS;2019;DCA;31199208571,24
Estado;41;ICMS;2019;RREO;30896531540,82
Estado;41;ICMS;2020;DCA;31144784546,11
Estado;41;ICMS;2020;RREO;31392396857,81
Estado;41;ICMS;2021;DCA;38476286534,12
Estado;41;ICMS;2021;RREO;39072064259,0
Estado;41;ICMS;2022;DCA;41284608405,42
Estado;41;ICMS;2022;RREO;42216673874,77
Estado;41;ICMS;2023;DCA;44084211768,32
Estado;41;ICMS;2023;RREO;44609334808,82
Estado;41;ICMS;2024;DCA;51045873290,26
Estado;41;ICMS;2024;RREO;51674948955,47
Estado;41;ICMS;2025;RREO;53382822594,19
Município;4106902;Cota-Parte ICMS;2019;DCA;797129094,2
Município;4106902;Cota-Parte ICMS;2019;RREO;797129094,2
Município;4106902;Cota-Parte ICMS;2020;DCA;759238739,48
Município;4106902;Cota-Parte ICMS;2020;RREO;759238739,48
Município;4106902;Cota-Parte ICMS;2020;SIOPS;759238739,48
Município;4106902;Cota-Parte ICMS;2021;DCA;887221700,32
Município;4106902;Cota-Parte ICMS;2021;RREO;887221700,32
Município;4106902;Cota-Parte ICMS;2021;SIOPS;887221700,32
Município;4106902;Cota-Parte ICMS;2022;DCA;907973298,98
Município;4106902;Cota-Parte ICMS;2022;RREO;907973298,98
Município;4106902;Cota-Parte ICMS;2022;SIOPS;907973298,98
Município;4106902;Cota-Parte ICMS;2023;DCA;945362544,67
Município;4106902;Cota-Parte ICMS;2023;RREO;945362544,67
Município;4106902;Cota-Parte ICMS;2023;SIOPS;945362544,67
Município;4106902;Cota-Parte ICMS;2024;DCA;1052104154,74
Município;4106902;Cota-Parte ICMS;2024;RREO;1052104154,74
Município;4106902;Cota-Parte ICMS;2024;SIOPS;1052104154,74
Município;4106902;Cota-Parte ICMS;2025;DCA;1108902081,89
Município;4106902;Cota-Parte ICMS;2025;RREO;1108902081,89
Município;4106902;Cota-Parte ICMS;2025;SIOPS;1108902081,89
Município;4106902;ISS;2019;DCA;1348877759,4
Município;4106902;ISS;2019;RREO;1348359099,12
Município;4106902;ISS;2020;DCA;1298738797,13
Município;4106902;ISS;2020;RREO;1298144586,74
Município;4106902;ISS;2020;SIOPS;1298144586,74
Município;4106902;ISS;2021;DCA;1745949599,65
Município;4106902;ISS;2021;RREO;1745243585,01
Município;4106902;ISS;2021;SIOPS;1745243585,01
Município;4106902;ISS;2022;DCA;1875063309,28
Município;4106902;ISS;2022;RREO;1874902885,73
Município;4106902;ISS;2022;SIOPS;1874904012,58
Município;4106902;ISS;2023;DCA;2057387746,98
Município;4106902;ISS;2023;RREO;2057387746,98
Município;4106902;ISS;2023;SIOPS;2057387746,98
Município;4106902;ISS;2024;DCA;2356684203,92
Município;4106902;ISS;2024;RREO;2356684203,92
Município;4106902;ISS;2024;SIOPS;2356684203,92
Município;4106902;ISS;2025;DCA;2827407152,42
Município;4106902;ISS;2025;RREO;2827407152,42
Município;4106902;ISS;2025;SIOPS;2827407152,42
