esfera;co_uf;cod_ibge;no_ente;ano;indicador;cod_conta;conta;valor;populacao
Município;RS;4316907;Prefeitura Municipal de Santa Maria - RS;2019;ISS;RO1.1.1.8.02.3.0;1.1.1.8.02.3.0 Imposto sobre Serviços de Qualquer Natureza;77376539,9;280505
Município;RS;4316907;Prefeitura Municipal de Santa Maria - RS;2019;Cota-Parte ICMS;RO1.7.2.8.01.1.0;1.7.2.8.01.1.0 Cota-Parte do ICMS;103129362,46;280505
Município;RS;4316907;Prefeitura Municipal de Santa Maria - RS;2024;ISS;RO1.1.1.4.51.1.0;1.1.1.4.51.1.0 - Imposto sobre Serviços de Qualquer Natureza - ISSQN;132839526,3;296081
Município;RS;4316907;Prefeitura Municipal de Santa Maria - RS;2024;Cota-Parte ICMS;RO1.7.2.1.50.0.0;1.7.2.1.50.0.0 - Cota-Parte do ICMS;154710949,72;296081
Município;RS;4316956;Prefeitura Municipal de Santa Maria do Herval - RS;2020;ISS;RO1.1.1.8.02.3.0;1.1.1.8.02.3.0 Imposto sobre Serviços de Qualquer Natureza;612788,47;6331
Município;RS;4316956;Prefeitura Municipal de Santa Maria do Herval - RS;2020;Cota-Parte ICMS;RO1.7.2.8.01.1.0;1.7.2.8.01.1.0 Cota-Parte do ICMS;5501953,55;6331
Município;RS;4316907;Prefeitura Municipal de Santa Maria - RS;2021;ISS;RO1.1.1.8.02.3.0;1.1.1.8.02.3.0 - Imposto sobre Serviços de Qualquer Natureza;86409517,87;283677
Município;RS;4316907;Prefeitura Municipal de Santa Maria - RS;2021;Cota-Parte ICMS;RO1.7.2.8.01.1.0;1.7.2.8.01.1.0 - Cota-Parte do ICMS;136851113,18;283677
Município;RS;4316907;Prefeitura Municipal de Santa Maria - RS;2023;ISS;RO1.1.1.4.51.1.0;1.1.1.4.51.1.0 - Imposto sobre Serviços de Qualquer Natureza - ISSQN;118499628,77;285159
Município;RS;4316907;Prefeitura Municipal de Santa Maria - RS;2023;Cota-Parte ICMS;RO1.7.2.1.50.0.0;1.7.2.1.50.0.0 - Cota-Parte do ICMS;130464073,64;285159
Município;RS;4316956;Prefeitura Municipal de Santa Maria do Herval - RS;2019;ISS;RO1.1.1.8.02.3.0;1.1.1.8.02.3.0 Imposto sobre Serviços de Qualquer Natureza;468294,57;6315
Município;RS;4316956;Prefeitura Municipal de Santa Maria do Herval - RS;2019;Cota-Parte ICMS;RO1.7.2.8.01.1.0;1.7.2.8.01.1.0 Cota-Parte do ICMS;5464235,92;6315
Município;RS;4316907;Prefeitura Municipal de Santa Maria - RS;2025;ISS;RO1.1.1.4.51.1.0;1.1.1.4.51.1.0 - Imposto sobre Serviços de Qualquer Natureza - ISSQN;144803433,37;296081
Município;RS;4316907;Prefeitura Municipal de Santa Maria - RS;2025;Cota-Parte ICMS;RO1.7.2.1.50.0.0;1.7.2.1.50.0.0 - Cota-Parte do ICMS;159857968,92;296081
Município;RS;4316956;Prefeitura Municipal de Santa Maria do Herval - RS;2021;ISS;RO1.1.1.8.02.3.0;1.1.1.8.02.3.0 - Imposto sobre Serviços de Qualquer Natureza;565492,82;6364
Município;RS;4316956;Prefeitura Municipal de Santa Maria do Herval - RS;2021;Cota-Parte ICMS;RO1.7.2.8.01.1.0;1.7.2.8.01.1.0 - Cota-Parte do ICMS;7647720,77;6364
Município;RS;4316956;Prefeitura Municipal de Santa Maria do Herval - RS;2022;ISS;RO1.1.1.4.51.1.0;1.1.1.4.51.1.0 - Imposto sobre Serviços de Qualquer Natureza - ISSQN;923869,49;6382
Município;RS;4316956;Prefeitura Municipal de Santa Maria do Herval - RS;2022;Cota-Parte ICMS;RO1.7.2.1.50.0.0;1.7.2.1.50.0.0 - Cota-Parte do ICMS;7531280,91;6382
