esfera;co_uf;cod_ibge;no_ente;ano;populacao;e_icms_rbr;e_icms_odr;e_adicional_icms_fcp_rbr;e_adicional_icms_fcp_odr;e_comp_lc194_rbr;e_comp_lc194_odr;m_iss_rbr;m_iss_odr;m_adicional_iss_fcp_rbr;m_adicional_iss_fcp_odr;m_cota_parte_icms_rbr;m_cota_parte_icms_odr;m_cota_parte_comp_lc194_rbr;m_cota_parte_comp_lc194_odr;m_comp_lc194_mun_rbr;m_comp_lc194_mun_odr
Município;MG;3166808;Prefeitura Municipal de Serra do Salitre - MG;2019;11493;;;;;;;18669728,44;;;;15893804,84;;;;;
Município;MG;3166808;Prefeitura Municipal de Serra do Salitre - MG;2020;11582;;;;;;;8344710,19;;;;17876570,98;;;;;
Município;MG;3166808;Prefeitura Municipal de Serra do Salitre - MG;2022;11750;;;;;;;14339520,98;;;;28290157,68;;;;;
Município;MG;3166808;Prefeitura Municipal de Serra do Salitre - MG;2024;13152;;;;;;;27898426,93;;;;30047496,33;;;;;
Município;MG;3166907;Prefeitura Municipal de Serrania - MG;2020;7669;;;;;;;323601,71;;;;4435529,61;;;;;
Município;MG;3166808;Prefeitura Municipal de Serra do Salitre - MG;2025;13152;;;;;;;24079546,82;;;;33114142,11;;;;;
Município;MG;3166907;Prefeitura Municipal de Serrania - MG;2023;7667;;;;;;;483353,7;;;;5518619,07;;12725,49;;;
Município;MG;3166907;Prefeitura Municipal de Serrania - MG;2021;7668;;;;;;;356329,73;;;;5734382,38;;;;;
Município;MG;3166907;Prefeitura Municipal de Serrania - MG;2019;7670;;;;;;;252937,87;;;;4276653,72;;;;;
Município;MG;3166907;Prefeitura Municipal de Serrania - MG;2025;7518;;;;;;;565695,83;3,71;;;6589112,54;;40914,08;;;
Município;MG;3166907;Prefeitura Municipal de Serrania - MG;2022;7667;;;;;;;141114,24;;;;6055718,68;;;;;
Município;MG;3166956;Prefeitura Municipal de Serranópolis de Minas - MG;2019;4752;;;;;;;42105,15;;;;2985073,9;;;;;
Município;MG;3166808;Prefeitura Municipal de Serra do Salitre - MG;2023;11750;;;;;;;46272471,07;;;;30536821,44;;;;;
Município;MG;3166956;Prefeitura Municipal de Serranópolis de Minas - MG;2021;4809;;;;;;;152251,84;;;;4508339,92;;;;;
Município;MG;3166956;Prefeitura Municipal de Serranópolis de Minas - MG;2022;4836;;;;;;;288922,19;;;;4859740,2;;;;;
Município;MG;3166956;Prefeitura Municipal de Serranópolis de Minas - MG;2024;4398;;;;;;;538019,58;;;;6517138,4;;;;;
Município;MG;3166907;Prefeitura Municipal de Serrania - MG;2024;7518;;;;;;;521012,72;;;;5515293,25;;;;;
Município;MG;3167004;Prefeitura Municipal de Serranos - MG;2019;1970;;;;;;;42947,7;;;;2011234,68;;;;;
Município;MG;3167004;Prefeitura Municipal de Serranos - MG;2020;1963;;;;;;;40590,53;400,0;;;2219724,52;;;;;
Município;MG;3166956;Prefeitura Municipal de Serranópolis de Minas - MG;2020;4781;;;;;;;53608,48;;;;3592156,07;;;;;
Município;MG;3167004;Prefeitura Municipal de Serranos - MG;2021;1956;;;;;;;95630,24;;;;2747670,08;;;;;
Município;MG;3167004;Prefeitura Municipal de Serranos - MG;2024;1952;;;;;;;85900,98;;;;4798566,1;;;;;
Município;MG;3167103;Prefeitura Municipal de Serro - MG;2019;20993;;;;;;;850324,53;;;;5828947,63;;;;;
Município;MG;3167004;Prefeitura Municipal de Serranos - MG;2023;1949;;;;;;;52157,53;;;;2844408,63;;;;;
Município;MG;3167004;Prefeitura Municipal de Serranos - MG;2022;1949;;;;;;;63212,47;;;;2870911,23;;;;;
Município;MG;3166956;Prefeitura Municipal de Serranópolis de Minas - MG;2025;4398;;;;;;;504622,51;;;;7359523,49;;;;;
Município;MG;3166956;Prefeitura Municipal de Serranópolis de Minas - MG;2023;4836;;;;;;;402935,73;;;;4848136,63;;;;;
Município;MG;3167004;Prefeitura Municipal de Serranos - MG;2025;1952;;;;;;;89384,96;;;;5432369,03;;39583,16;;;
Município;MG;3167103;Prefeitura Municipal de Serro - MG;2021;20940;;;;;;;1379619,87;;;;7947074,41;;;;;
Município;MG;3167103;Prefeitura Municipal de Serro - MG;2020;20966;;;;;;;758733,61;;;;5853034,81;1170606,65;;;;
Município;MG;3167103;Prefeitura Municipal de Serro - MG;2022;20915;;;;;;;1733526,19;96,32;;;7804139,88;;;;;
Município;MG;3166808;Prefeitura Municipal de Serra do Salitre - MG;2021;11668;;;;;;;7767327,95;;;;25125778,42;;;;;
Município;MG;3167202;Prefeitura Municipal de Sete Lagoas - MG;2020;239639;;;;;;;47437467,42;218345,33;;;191328202,3;;;;;
Município;MG;3167202;Prefeitura Municipal de Sete Lagoas - MG;2021;241835;;;;;;;62166174,64;3299084,54;;;239264802,81;;;;;
Município;MG;3167202;Prefeitura Municipal de Sete Lagoas - MG;2022;243950;;;;;;;74600426,75;615906,9;;;248922863,27;;;;;
Município;MG;3167103;Prefeitura Municipal de Serro - MG;2023;20915;;;;;;;3461362,04;;;;7631784,49;;;;;
Município;MG;3167103;Prefeitura Municipal de Serro - MG;2025;21813;;;;;;;3605071,47;;;;11864626,52;;;;;
Município;MG;3167202;Prefeitura Municipal de Sete Lagoas - MG;2019;237286;;;;;;;48563587,07;970030,9;;;165646939,8;;;;;
Município;MG;3167202;Prefeitura Municipal de Sete Lagoas - MG;2025;233398;;;;;;;133056721,31;15052967,81;;;274778100,05;;;;;
Município;MG;3167202;Prefeitura Municipal de Sete Lagoas - MG;2024;233398;;;;;;;97974639,86;442657,56;;;239400712,91;;;;;
Município;MG;3167103;Prefeitura Municipal de Serro - MG;2024;21813;;;;;;;3337735,7;;;;10812646,48;;;;;
Município;MG;3167301;Prefeitura Municipal de Silveirânia - MG;2019;2258;;;;;;;38897,31;;;;1608228,58;;;;;
Município;MG;3167301;Prefeitura Municipal de Silveirânia - MG;2020;2261;;;;;;;53616,28;;;;1971818,69;;;;;
Município;MG;3167301;Prefeitura Municipal de Silveirânia - MG;2022;2267;;;;;;;71320,36;;;;2614273,64;;;;;
Município;MG;3167301;Prefeitura Municipal de Silveirânia - MG;2023;2267;;;;;;;33628,29;;;;2591124,14;;;;;
Município;MG;3167301;Prefeitura Municipal de Silveirânia - MG;2024;2322;;;;;;;77652,8;;;;3474519,54;;;;;
Município;MG;3167202;Prefeitura Municipal de Sete Lagoas - MG;2023;243950;;;;;;;88489453,72;844738,25;;;227006744,37;;;;;
Município;MG;3167400;Prefeitura Municipal de Silvianópolis - MG;2019;6227;;;;;;;154528,0;;;;3182412,02;;;;;
Município;MG;3167400;Prefeitura Municipal de Silvianópolis - MG;2022;6258;;;;;;;385419,95;;;;5641030,26;;;;;
Município;MG;3167400;Prefeitura Municipal de Silvianópolis - MG;2023;6258;;;;;;;376595,14;;;;5231525,83;;10017,28;;;
Município;MG;3167400;Prefeitura Municipal de Silvianópolis - MG;2021;6248;;;;;;;288063,61;;;;5167826,97;;;;;
Município;MG;3167400;Prefeitura Municipal de Silvianópolis - MG;2025;6061;;;;;;;889905,9;;;;8059099,61;;;;;
Município;MG;3167509;Prefeitura Municipal de Simão Pereira - MG;2019;2612;;;;;;;1069612,38;;;;2851045,84;;;;;
Município;MG;3167509;Prefeitura Municipal de Simão Pereira - MG;2020;2615;;;;;;;1334325,96;218,21;;;3034991,42;;;;;
Município;MG;3167509;Prefeitura Municipal de Simão Pereira - MG;2023;2621;;;;;;;1995199,77;116,02;;;4053548,91;;10019,63;8015,7;;
Município;MG;3167509;Prefeitura Municipal de Simão Pereira - MG;2022;2621;;;;;;;1544952,63;;;;4318165,1;;;;;
Município;MG;3167400;Prefeitura Municipal de Silvianópolis - MG;2024;6061;;;;;;;587092,05;;;;5645400,9;;;;;
Município;MG;3167509;Prefeitura Municipal de Simão Pereira - MG;2024;2913;;;;;;;3654803,21;5,09;;;5575426,33;;;;;
Município;MG;3167509;Prefeitura Municipal de Simão Pereira - MG;2025;2913;;;;;;;2561476,75;;;;5392919,55;;27920,08;;;
Município;MG;3167608;Prefeitura Municipal de Simonésia - MG;2019;19528;;;;;;;407145,77;;;;5151012,89;;;;;
Município;MG;3167608;Prefeitura Municipal de Simonésia - MG;2021;19736;;;;;;;504923,08;;;;8006879,71;;;;;
Município;MG;3167301;Prefeitura Municipal de Silveirânia - MG;2025;2322;;;;;;;177271,66;6,27;;;3302621,85;;;;;
Município;MG;3167608;Prefeitura Municipal de Simonésia - MG;2020;19633;;;;;;;570691,66;;;;6319131,67;;;;;
Município;MG;3167608;Prefeitura Municipal de Simonésia - MG;2023;19834;;;;;;;925551,03;;;;7558754,51;;;;;
Município;MG;3167608;Prefeitura Municipal de Simonésia - MG;2022;19834;;;;;;;782933,71;;;;6577174,61;;;;;
Município;MG;3167608;Prefeitura Municipal de Simonésia - MG;2024;19807;;;;;;;1191953,92;;;;9654153,35;;;;;
Município;MG;3167301;Prefeitura Municipal de Silveirânia - MG;2021;2264;;;;;;;41018,43;;;;2488648,01;;;;;
Município;MG;3167707;Prefeitura Municipal de Sobrália - MG;2020;5553;;;;;;;92288,05;;;;2635358,26;;;;;
Município;MG;3167707;Prefeitura Municipal de Sobrália - MG;2021;5514;;;;;;;119769,51;;;;3409060,56;;;;;
Município;MG;3167707;Prefeitura Municipal de Sobrália - MG;2022;5476;;;;;;;133320,83;;;;3334953,97;;;;;
Município;MG;3167608;Prefeitura Municipal de Simonésia - MG;2025;19807;;;;;;;1642773,76;;;;10558085,23;;;;;
Município;MG;3167707;Prefeitura Municipal de Sobrália - MG;2024;4893;;;;;;;335894,19;;;;3848915,35;;;;;
Município;MG;3167707;Prefeitura Municipal de Sobrália - MG;2025;4893;;;;;;;311941,35;;;;4288259,06;;;;;
Município;MG;3167806;Prefeitura Municipal de Soledade de Minas - MG;2019;6112;;;;;;;210649,02;;;;2741971,76;;;;;
Município;MG;3167806;Prefeitura Municipal de Soledade de Minas - MG;2021;6189;;;;;;;321087,82;;;;3738829,61;;;;;
Município;MG;3167400;Prefeitura Municipal de Silvianópolis - MG;2020;6238;;;;;;;214269,33;;;;3672741,64;;;;;
Município;MG;3167806;Prefeitura Municipal de Soledade de Minas - MG;2022;6226;;;;;;;450545,48;;;;4013053,64;;;;;
Município;MG;3167806;Prefeitura Municipal de Soledade de Minas - MG;2023;6226;;;;;;;780630,51;;;;3697245,4;;;;;
Município;MG;3167707;Prefeitura Municipal de Sobrália - MG;2023;5476;;;;;;;185474,96;;;;3239812,31;;;;;
Município;MG;3167806;Prefeitura Municipal de Soledade de Minas - MG;2024;5602;;;;;;;858370,07;;;;3747981,35;;;;;
Município;MG;3167905;Prefeitura Municipal de Tabuleiro - MG;2019;3792;;;;;;;179302,68;579,85;;;2378607,53;;;;;
Município;MG;3167905;Prefeitura Municipal de Tabuleiro - MG;2022;3669;;;;;;;384962,09;;;;3051031,63;;;;;
Município;MG;3167905;Prefeitura Municipal de Tabuleiro - MG;2020;3750;;;;;;;137149,57;;;;2716168,66;;;;;
Município;MG;3167806;Prefeitura Municipal de Soledade de Minas - MG;2020;6151;;;;;;;170435,79;;;;2852755,05;;;;;
Município;MG;3167905;Prefeitura Municipal de Tabuleiro - MG;2025;3926;;;;;;;273917,59;;;;4347209,34;;25054,5;;;
Município;MG;3167905;Prefeitura Municipal de Tabuleiro - MG;2023;3669;;;;;;;243776,49;;;;3209189,92;;;;;
Município;MG;3167905;Prefeitura Municipal de Tabuleiro - MG;2024;3926;;;;;;;281473,76;;;;3605428,06;;;;;
