tipo_ente;cod_ibge;tipo_receita;ano;DCA;RREO;SIOPS;SIOPE;DCA2
Estado;11;ICMS;2019;4599197573,45;4085334904,46;;;4085334904,4599996
Estado;11;ICMS;2020;5005919260,04;4446389852,94;;;4446389852,940001
Estado;11;ICMS;2021;6531079285,43;5816879406,21;;;5816879406,21
Estado;11;ICMS;2022;6634840989,65;6016430599,37;;;6016430599,37
Estado;11;ICMS;2023;6715411074,61;6113516376,24;;;6113516376,24
Estado;11;ICMS;2024;8160076835,42;7507448778,0;;;7507448778,0
Estado;11;ICMS;2025;8914247539,32;8125984783,1;;;8125984783,099999
Estado;11;LC194;2023;;;;;272800000,0
Estado;12;ICMS;2019;1413047877,27;1413047877,27;;;1413047877,27
Estado;12;ICMS;2020;1374411190,82;1374411190,82;;;1374411190,82
Estado;12;ICMS;2021;1699401407,4;1699401407,4;;;1699401407,4
Estado;12;ICMS;2022;1791035053,8;1791035053,8;;;1791035053,8
Estado;12;ICMS;2023;1912132558,42;1912132558,42;;;1912132558,42
Estado;12;ICMS;2024;2159968117,18;2159968117,18;;;2159968117,18
Estado;12;ICMS;2025;2220306998,18;2220306998,18;;;2220306998,18
Estado;12;LC194;2023;;;;;60000030,0
Estado;13;ICMS;2019;10074255068,13;10074255068,13;;;10074255068,13
Estado;13;ICMS;2020;10841227593,64;10841227593,64;;;10841227593,64
Estado;13;ICMS;2021;13052900720,35;13052900720,35;;;13052900720,35
Estado;13;ICMS;2022;13948573127,13;13996287720,36;;;13995104513,869999
Estado;13;ICMS;2023;14213754044,19;14246214070,74;;;14246214070,74
Estado;13;ICMS;2024;15630527022,24;15698510024,65;;;15698510024,65
Estado;13;ICMS;2025;16904534360,06;16924101052,28;;;16924101052,279999
Estado;13;LC194;2023;;;;;137600000,0
Estado;14;ICMS;2019;1117103859,69;1117103859,69;;;1117103859,69
Estado;14;ICMS;2020;1239989996,07;1239989996,07;;;1239989996,07
Estado;14;ICMS;2021;1569336033,07;1569326634,65;;;1569336033,07
Estado;14;ICMS;2022;1596730781,55;1593763457,35;;;1593763457,35
Estado;14;ICMS;2023;1701621013,58;1701621013,58;;;1701621013,58
Estado;14;ICMS;2024;2010717523,69;2010397364,85;;;2010397364,8500001
Estado;14;ICMS;2025;2143083290,43;2142489273,26;;;2142489273,26
Estado;15;ICMS;2019;12201373399,84;12201125161,06;;;12201125161,06
Estado;15;ICMS;2020;13834526514,63;13833806281,44;;;13833806281,439999
Estado;15;ICMS;2021;16943956449,82;16943385589,9;;;16943385589,9
Estado;15;ICMS;2022;19974288585,74;19972649935,84;;;19972649935,84
