esfera;co_uf;cod_ibge;no_ente;ano;bimestre;indicador;cod_conta;conta;valor;populacao
Município;RN;2407252;Prefeitura Municipal de Major Sales - RN;2024;6;ISS;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;351389,87;3924
Município;RN;2407252;Prefeitura Municipal de Major Sales - RN;2024;6;Cota-Parte ICMS;RREO3CotaParteDoICMS;Cota-Parte do ICMS;1956179,86;3924
Município;RN;2407252;Prefeitura Municipal de Major Sales - RN;2020;6;ISS;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;190187,23;4020
Município;RN;2407252;Prefeitura Municipal de Major Sales - RN;2020;6;Cota-Parte ICMS;RREO3CotaParteDoICMS;Cota-Parte do ICMS;1519239,55;4020
Município;RN;2407252;Prefeitura Municipal de Major Sales - RN;2019;6;ISS;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;42162,44;3978
Município;RN;2407252;Prefeitura Municipal de Major Sales - RN;2019;6;Cota-Parte ICMS;RREO3CotaParteDoICMS;Cota-Parte do ICMS;1492930,26;3978
Município;RN;2407252;Prefeitura Municipal de Major Sales - RN;2022;6;ISS;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;130649,66;4102
Município;RN;2407252;Prefeitura Municipal de Major Sales - RN;2022;6;Cota-Parte ICMS;RREO3CotaParteDoICMS;Cota-Parte do ICMS;1909647,66;4102
Município;RN;2407252;Prefeitura Municipal de Major Sales - RN;2025;6;ISS;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;2505515,32;3924
Município;RN;2407252;Prefeitura Municipal de Major Sales - RN;2025;6;Cota-Parte ICMS;RREO3CotaParteDoICMS;Cota-Parte do ICMS;2246352,98;3924
Município;RN;2407252;Prefeitura Municipal de Major Sales - RN;2021;6;ISS;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;165328,31;4062
Município;RN;2407252;Prefeitura Municipal de Major Sales - RN;2021;6;Cota-Parte ICMS;RREO3CotaParteDoICMS;Cota-Parte do ICMS;1809286,08;4062
Município;RN;2407302;Prefeitura Municipal de Marcelino Vieira - RN;2019;6;ISS;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;130893,53;8358
Município;RN;2407302;Prefeitura Municipal de Marcelino Vieira - RN;2019;6;Cota-Parte ICMS;RREO3CotaParteDoICMS;Cota-Parte do ICMS;2136023,18;8358
Município;RN;2407252;Prefeitura Municipal de Major Sales - RN;2023;6;ISS;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;359670,66;4102
Município;RN;2407252;Prefeitura Municipal de Major Sales - RN;2023;6;Cota-Parte ICMS;RREO3CotaParteDoICMS;Cota-Parte do ICMS;2321104,63;4102
Município;RN;2407302;Prefeitura Municipal de Marcelino Vieira - RN;2022;6;ISS;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;295817,62;8325
Município;RN;2407302;Prefeitura Municipal de Marcelino Vieira - RN;2022;6;Cota-Parte ICMS;RREO3CotaParteDoICMS;Cota-Parte do ICMS;2551546,39;8325
