esfera;co_uf;cod_ibge;no_ente;ano;indicador;cod_conta;conta;valor;populacao
Município;AC;120010;Brasiléia;2022;ISS;11180230;Imposto Sobre Serviços de Qualquer Natureza;3883926,96;
Município;AC;120039;Porto Walter;2022;ISS;11180230;Imposto Sobre Serviços de Qualquer Natureza;644761,78;
Município;AC;120010;Brasiléia;2022;Cota-Parte ICMS;17280110;Cota-Parte do Icms;19324048,66;
Município;AC;120013;Bujari;2022;ISS;11180230;Imposto Sobre Serviços de Qualquer Natureza;936457,87;
Município;AC;120039;Porto Walter;2022;Cota-Parte ICMS;17280110;Cota-Parte do Icms;6261088,16;
Município;AC;120013;Bujari;2022;Cota-Parte ICMS;17280110;Cota-Parte do Icms;6284705,25;
Município;AC;120017;Capixaba;2022;ISS;11180230;Imposto Sobre Serviços de Qualquer Natureza;620540,04;
Município;AC;120040;Rio Branco;2022;ISS;11180230;Imposto Sobre Serviços de Qualquer Natureza;116852159,63;
Município;AC;120017;Capixaba;2022;Cota-Parte ICMS;17280110;Cota-Parte do Icms;5873912,33;
Município;AC;120040;Rio Branco;2022;Cota-Parte ICMS;17280110;Cota-Parte do Icms;209901794,81;
Município;AC;120020;Cruzeiro do Sul;2022;ISS;11180230;Imposto Sobre Serviços de Qualquer Natureza;10905244,31;
Município;AC;120042;Rodrigues Alves;2022;ISS;11180230;Imposto Sobre Serviços de Qualquer Natureza;677080,67;
Município;AC;120042;Rodrigues Alves;2022;Cota-Parte ICMS;17280110;Cota-Parte do Icms;6261911,63;
Município;AC;120020;Cruzeiro do Sul;2022;Cota-Parte ICMS;17280110;Cota-Parte do Icms;44799831,19;
Município;AC;120025;Epitaciolândia;2022;ISS;11180230;Imposto Sobre Serviços de Qualquer Natureza;432120,37;
Município;AC;120043;Santa Rosa do Purus;2022;ISS;11180230;Imposto Sobre Serviços de Qualquer Natureza;200000,0;
Município;AC;120025;Epitaciolândia;2022;Cota-Parte ICMS;17280110;Cota-Parte do Icms;10340250,62;
