esfera;co_uf;cod_ibge;no_ente;ano;populacao;indicador;cod_conta;conta;valor
Município;RN;2407252;Major Sales;2020;;Cota-Parte ICMS;SIOPS_COTA_ICMS;Cota-Parte do ICMS;1519239,55
Município;RN;2407252;Major Sales;2020;;ISS;SIOPS_ISS;Receita Resultante do ISS;190187,23
Município;RN;2407252;Major Sales;2021;;Cota-Parte ICMS;SIOPS_COTA_ICMS;Cota-Parte do ICMS;1809286,08
Município;RN;2407252;Major Sales;2021;;ISS;SIOPS_ISS;Receita Resultante do ISS;165328,31
Município;RN;2407252;Major Sales;2022;;Cota-Parte ICMS;SIOPS_COTA_ICMS;Cota-Parte do ICMS;1909647,66
Município;RN;2407252;Major Sales;2022;;ISS;SIOPS_ISS;Receita Resultante do ISS;130649,66
Município;RN;2407252;Major Sales;2023;;Cota-Parte ICMS;SIOPS_COTA_ICMS;Cota-Parte do ICMS;2321104,63
Município;RN;2407252;Major Sales;2023;;ISS;SIOPS_ISS;Receita Resultante do ISS;359670,66
Município;RN;2407252;Major Sales;2024;;Cota-Parte ICMS;SIOPS_COTA_ICMS;Cota-Parte do ICMS;1956179,86
Município;RN;2407252;Major Sales;2024;;ISS;SIOPS_ISS;Receita Resultante do ISS;351389,87
Município;RN;2407252;Major Sales;2025;;Cota-Parte ICMS;SIOPS_COTA_ICMS;Cota-Parte do ICMS;2246352,98
Município;RN;2407252;Major Sales;2025;;ISS;SIOPS_ISS;Receita Resultante do ISS;2505515,32
Município;RN;2407302;Marcelino Vieira;2020;;Cota-Parte ICMS;SIOPS_COTA_ICMS;Cota-Parte do ICMS;2208234,53
Município;RN;2407302;Marcelino Vieira;2020;;ISS;SIOPS_ISS;Receita Resultante do ISS;125504,45
Município;RN;2407302;Marcelino Vieira;2021;;Cota-Parte ICMS;SIOPS_COTA_ICMS;Cota-Parte do ICMS;2587383,57
Município;RN;2407302;Marcelino Vieira;2021;;ISS;SIOPS_ISS;Receita Resultante do ISS;207298,97
Município;RN;2407302;Marcelino Vieira;2022;;Cota-Parte ICMS;SIOPS_COTA_ICMS;Cota-Parte do ICMS;2767329,85
Município;RN;2407302;Marcelino Vieira;2022;;ISS;SIOPS_ISS;Receita Resultante do ISS;303321,25
Município;RN;2407302;Marcelino Vieira;2023;;Cota-Parte ICMS;SIOPS_COTA_ICMS;Cota-Parte do ICMS;3329094,67
Município;RN;2407302;Marcelino Vieira;2023;;ISS;SIOPS_ISS;Receita Resultante do ISS;237751,52
Município;RN;2407302;Marcelino Vieira;2024;;Cota-Parte ICMS;SIOPS_COTA_ICMS;Cota-Parte do ICMS;3005342,45
Município;RN;2407302;Marcelino Vieira;2024;;ISS;SIOPS_ISS;Receita Resultante do ISS;548711,16
Município;RN;2407302;Marcelino Vieira;2025;;Cota-Parte ICMS;SIOPS_COTA_ICMS;Cota-Parte do ICMS;4121123,27
Município;RN;2407302;Marcelino Vieira;2025;;ISS;SIOPS_ISS;Receita Resultante do ISS;224307,14
Município;RN;2407401;Martins;2020;;Cota-Parte ICMS;SIOPS_COTA_ICMS;Cota-Parte do ICMS;2186397,33
Município;RN;2407401;Martins;2020;;ISS;SIOPS_ISS;Receita Resultante do ISS;424991,08
Município;RN;2407401;Martins;2021;;Cota-Parte ICMS;SIOPS_COTA_ICMS;Cota-Parte do ICMS;2634845,34
Município;RN;2407401;Martins;2021;;ISS;SIOPS_ISS;Receita Resultante do ISS;339211,23
Município;RN;2407401;Martins;2022;;Cota-Parte ICMS;SIOPS_COTA_ICMS;Cota-Parte do ICMS;2860211,26
Município;RN;2407401;Martins;2022;;ISS;SIOPS_ISS;Receita Resultante do ISS;412907,81
Município;RN;2407401;Martins;2023;;Cota-Parte ICMS;SIOPS_COTA_ICMS;Cota-Parte do ICMS;3145893,41
Município;RN;2407401;Martins;2023;;ISS;SIOPS_ISS;Receita Resultante do ISS;566262,94
Município;RN;2407401;Martins;2024;;Cota-Parte ICMS;SIOPS_COTA_ICMS;Cota-Parte do ICMS;3043189,48
Município;RN;2407401;Martins;2024;;ISS;SIOPS_ISS;Receita Resultante do ISS;812791,69
Município;RN;2407401;Martins;2025;;Cota-Parte ICMS;SIOPS_COTA_ICMS;Cota-Parte do ICMS;3629550,07
Município;RN;2407401;Martins;2025;;ISS;SIOPS_ISS;Receita Resultante do ISS;769169,53
Município;RN;2407500;Maxaranguape;2020;;Cota-Parte ICMS;SIOPS_COTA_ICMS;Cota-Parte do ICMS;2269893,84
Município;RN;2407500;Maxaranguape;2020;;ISS;SIOPS_ISS;Receita Resultante do ISS;1280688,91
Município;RN;2407500;Maxaranguape;2021;;Cota-Parte ICMS;SIOPS_COTA_ICMS;Cota-Parte do ICMS;1899191,74
Município;RN;2407500;Maxaranguape;2021;;ISS;SIOPS_ISS;Receita Resultante do ISS;1072567,24
Município;RN;2407500;Maxaranguape;2022;;Cota-Parte ICMS;SIOPS_COTA_ICMS;Cota-Parte do ICMS;2943589,3
