cod_ibge;nome;tipo_receita;ano;valor_liquido
11;Rondônia;ICMS;2013;2669575227,83
11;Rondônia;ICMS;2014;2992856239,91
11;Rondônia;ICMS;2015;3147280165,95
11;Rondônia;ICMS;2016;3133540198,08
11;Rondônia;ICMS;2017;3283633136,81
11;Rondônia;ICMS;2018;3695254609,4
11;Rondônia;ICMS;2019;4085334904,46
11;Rondônia;ICMS;2020;4446389852,94
11;Rondônia;ICMS;2021;5816879406,21
11;Rondônia;ICMS;2022;6016430599,37
11;Rondônia;ICMS;2023;6113516376,24
11;Rondônia;ICMS;2024;7507448778,0
11;Rondônia;ICMS;2025;8125984783,1
12;Acre;ICMS;2013;789110800,53
12;Acre;ICMS;2014;886325747,53
12;Acre;ICMS;2015;964767236,28
12;Acre;ICMS;2016;997055171,69
12;Acre;ICMS;2017;1115901671,4
12;Acre;ICMS;2018;1413094145,28
12;Acre;ICMS;2019;1413047877,27
12;Acre;ICMS;2020;1374411190,82
12;Acre;ICMS;2021;1699401407,4
12;Acre;ICMS;2022;1791035053,8
12;Acre;ICMS;2023;1912132558,42
12;Acre;ICMS;2024;2159968117,18
12;Acre;ICMS;2025;2220306998,18
13;Amazonas;ICMS;2013;7425753698,97
13;Amazonas;ICMS;2014;7769057127,75
13;Amazonas;ICMS;2015;7375601037,94
13;Amazonas;ICMS;2016;7053998656,6
13;Amazonas;ICMS;2017;8085783373,97
13;Amazonas;ICMS;2018;9276321744,7
13;Amazonas;ICMS;2019;10074255068,13
13;Amazonas;ICMS;2020;10841227593,64
13;Amazonas;ICMS;2021;13052900720,35
13;Amazonas;ICMS;2022;13995104513,87
13;Amazonas;ICMS;2023;14246214070,74
13;Amazonas;ICMS;2024;15698510024,65
13;Amazonas;ICMS;2025;16924101052,28
14;Roraima;ICMS;2013;518179095,16
14;Roraima;ICMS;2014;602440670,84
14;Roraima;ICMS;2015;642803638,67
14;Roraima;ICMS;2016;708521181,3
14;Roraima;ICMS;2017;772886972,97
14;Roraima;ICMS;2018;879548403,49
14;Roraima;ICMS;2019;1117103859,69
14;Roraima;ICMS;2020;1239989996,07
14;Roraima;ICMS;2021;1569336033,07
14;Roraima;ICMS;2022;1593763457,35
14;Roraima;ICMS;2023;1701621013,58
14;Roraima;ICMS;2024;2010397364,85
14;Roraima;ICMS;2025;2142489273,26
15;Pará;ICMS;2013;7684241280,01
15;Pará;ICMS;2014;8797559886,4
15;Pará;ICMS;2015;9555253119,86
15;Pará;ICMS;2016;9935994418,87
15;Pará;ICMS;2017;10115627848,39
15;Pará;ICMS;2018;10917575291,26
15;Pará;ICMS;2019;12201125161,06
15;Pará;ICMS;2020;13833806281,44
15;Pará;ICMS;2021;16943385589,9
15;Pará;ICMS;2022;19972649935,84
15;Pará;ICMS;2023;20795796348,23
15;Pará;ICMS;2024;24394691448,02
15;Pará;ICMS;2025;25079145957,84
16;Amapá;ICMS;2013;784483253,11
16;Amapá;ICMS;2014;849721133,71
16;Amapá;ICMS;2015;777500196,2
16;Amapá;ICMS;2016;691278831,39
16;Amapá;ICMS;2017;746574352,86
16;Amapá;ICMS;2018;855127163,94
16;Amapá;ICMS;2019;945433657,44
16;Amapá;ICMS;2020;1014886217,92
16;Amapá;ICMS;2021;1280215544,78
16;Amapá;ICMS;2022;1353113642,46
16;Amapá;ICMS;2023;1372246908,37
16;Amapá;ICMS;2024;1517410287,34
16;Amapá;ICMS;2025;1702927683,38
17;Tocantins;ICMS;2013;1660021503,62
17;Tocantins;ICMS;2014;1879510555,85
17;Tocantins;ICMS;2015;2032220431,81
17;Tocantins;ICMS;2016;2323600765,11
17;Tocantins;ICMS;2017;2495985510,85
17;Tocantins;ICMS;2018;2852027620,63
17;Tocantins;ICMS;2019;3015156616,5
17;Tocantins;ICMS;2020;3286800375,22
17;Tocantins;ICMS;2021;4195029336,87
17;Tocantins;ICMS;2022;4504435586,58
17;Tocantins;ICMS;2023;5025473341,98
17;Tocantins;ICMS;2024;5947178599,38
17;Tocantins;ICMS;2025;6400909146,71
21;Maranhão;ICMS;2013;4345797509,03
21;Maranhão;ICMS;2014;4679356894,16
21;Maranhão;ICMS;2015;4967626554,0
21;Maranhão;ICMS;2016;5936094329,99
21;Maranhão;ICMS;2017;6265579884,41
21;Maranhão;ICMS;2018;6949777318,81
21;Maranhão;ICMS;2019;7831039575,46
21;Maranhão;ICMS;2020;8143958000,89
21;Maranhão;ICMS;2021;9939309949,16
21;Maranhão;ICMS;2022;11469444478,23
21;Maranhão;ICMS;2023;10880745023,56
21;Maranhão;ICMS;2024;13870071546,37
21;Maranhão;ICMS;2025;15813244157,58
22;Piauí;ICMS;2013;2658793241,37
22;Piauí;ICMS;2014;2934286686,03
22;Piauí;ICMS;2015;3194635662,16
22;Piauí;ICMS;2016;3406252617,96
22;Piauí;ICMS;2017;3780359865,38
22;Piauí;ICMS;2018;4481997072,28
22;Piauí;ICMS;2019;4480942492,29
22;Piauí;ICMS;2020;4724378651,86
22;Piauí;ICMS;2021;5698763327,61
22;Piauí;ICMS;2022;5772556805,7
22;Piauí;ICMS;2023;6729290553,64
22;Piauí;ICMS;2024;7713816236,26
22;Piauí;ICMS;2025;8476783762,62
23;Ceará;ICMS;2013;8565578586,25
23;Ceará;ICMS;2014;9319318251,67
23;Ceará;ICMS;2015;9715890373,18
23;Ceará;ICMS;2016;10332985837,82
23;Ceará;ICMS;2017;11181546915,96
23;Ceará;ICMS;2018;9372241897,08
23;Ceará;ICMS;2019;13147344027,02
23;Ceará;ICMS;2020;13222260498,55
23;Ceará;ICMS;2021;16231219820,17
23;Ceará;ICMS;2022;17124667700,39
23;Ceará;ICMS;2023;17053549032,48
23;Ceará;ICMS;2024;20202084845,36
23;Ceará;ICMS;2025;21447585488,26
24;Rio Grande do Norte;ICMS;2013;3936626409,92
24;Rio Grande do Norte;ICMS;2014;4284414023,71
24;Rio Grande do Norte;ICMS;2015;4526277789,57
24;Rio Grande do Norte;ICMS;2016;4912803891,76
24;Rio Grande do Norte;ICMS;2017;5180800852,4
24;Rio Grande do Norte;ICMS;2018;5662296052,1
24;Rio Grande do Norte;ICMS;2019;5739341693,43
24;Rio Grande do Norte;ICMS;2020;5881117294,78
24;Rio Grande do Norte;ICMS;2021;6827095461,1
24;Rio Grande do Norte;ICMS;2022;7185173926,72
24;Rio Grande do Norte;ICMS;2023;8274531189,36
24;Rio Grande do Norte;ICMS;2024;8459893757,36
24;Rio Grande do Norte;ICMS;2025;9448358870,57
25;Paraíba;ICMS;2013;3853739764,76
25;Paraíba;ICMS;2014;4349598044,74
25;Paraíba;ICMS;2015;4460965886,89
25;Paraíba;ICMS;2016;4713478234,29
25;Paraíba;ICMS;2017;5066472551,45
25;Paraíba;ICMS;2018;5546768868,23
25;Paraíba;ICMS;2019;5883211654,29
25;Paraíba;ICMS;2020;6099027761,84
25;Paraíba;ICMS;2021;7495184696,4
25;Paraíba;ICMS;2022;7672335351,13
25;Paraíba;ICMS;2023;8045036216,08
